央视频道,#genre#
CCTV-1 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv1/
CCTV-2 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv2/
CCTV-3 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv3/
CCTV-4 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv4/
CCTV-5 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv5/
CCTV-5+ HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv05plus/
CCTV-6 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv6/
CCTV-7 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-12000k-1080P-cctv7/
CCTV-8 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv8/
CCTV-9 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv9/
CCTV-10 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv10/
CCTV-11 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv11/
CCTV-12 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv12/
CCTV-13 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-cctv13/
CCTV-14 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv14/
CCTV-15 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv15/
CCTV-16 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-cctv16/
CCTV-17 HD,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-cctv17/

风云音乐,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_FENGYUNYY-CQ/
风云剧场,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_FENGYUNJC-CQ/
第一剧场,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_DIYIJC-CQ/
怀旧剧场,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HUAIJIUJC-CQ/
女性时尚,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NVXINGSS-CQ/
世界地理,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SHIJIEDL-CQ/
兵器科技,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_BINGQIKJ-CQ/
电视指南,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_DIANSHIZN-CQ/
央视文化精品,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_CCTV-WENHUA-CQ/
风云足球,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_FENGSHANGZQ-CQ/
央视台球,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_TAIQIU-CQ/
高尔夫网球,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_CCTV-GOLF-CQ/

卫视频道,#genre#
凤凰中文,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-10000k-1080P-fhchinese5s/
凤凰资讯,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-10000k-1080P-fhzixun5s/
凤凰香港,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-10000k-1080P-fhhongkong5s/
北京卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-beijingstv/
天津卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-tianjinstv/
河北卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HEBEI-CQ/
山东卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-shandongstv/
江苏卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-jiangsustv/
东方卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-dongfangstv/
浙江卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-zhejiangstv/
东南卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-dongnanstv/
厦门卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_XIAMEN/
广东卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-guangdongstv/
深圳卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-shenzhenstv/
广西卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/GXWS/
海南卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-lvyoustv/
三沙卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SANSHA-HQ/
云南卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_YUNNAN-HQ/
贵州卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_GUIZHOU-CQ/
四川卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SICHUAN-CQ/
重庆卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-chongqingstv/
湖南卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-hunanstv/
湖北卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-hubeistv/
江西卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-5500k-1080P-jiangxistv/
安徽卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-anhuistv/
河南卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HENAN-CQ/
辽宁卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-liaoningstv/
吉林卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JILIN-CQ/
黑龙江卫视,http://zv6.ott.mobaibox.com:6060/cntv/live1/H265-8000k-1080P-heilongjiangstv/
陕西卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SHANXI/
甘肃卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_GANSU-HD/
宁夏卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NINGXIA/
青海卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_QINGHAI/
山西卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SHANXI1-HQ/
内蒙古卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NEIMENGGU/
新疆卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_XINJIANG-HD/
兵团卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_BINGTUAN/
西藏卫视,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_XIZANG/

少儿频道,#genre#
卡酷少儿,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_KAKU/
金鹰卡通,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JINYING/
嘉佳卡通,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JIAJIA/
优漫卡通,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_YOUMAN/

地区频道,#genre#
第一财经,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_DIYICJ-HQ/

江苏新闻,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JSGG/
江苏城市,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JSCS/
江苏综艺,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JSZY/
江苏影视,http://zv6.ott.mobaibox.com:6060/cntv/live1/SD-2500k-576P-jiangsuys/
江苏教育,http://zv6.ott.mobaibox.com:6060/cntv/live1/SD-2500k-576P-jiangsujy/
江苏体育休闲,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_JSTY/

南京新闻综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NJXW/
南京教科,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NJJK/
南京文旅纪录,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NJYL/
南京十八生活,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_NJSB/

南通新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/jsntyitao/
南通2,http://zv6.ott.mobaibox.com:6060/cntv/live1/jsntertao/
南通公共崇川,http://zv6.ott.mobaibox.com:6060/cntv/live1/jsntsantao/

昆山新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-kunshanxinwen/

无锡新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-wuxixinwen/
无锡都市资讯,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-wuxidushi/
江阴新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-jiangyinxinwen/
江阴社会经济,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-jiangyinjingji/
江阴民生频道,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-jiangyinminsheng/
江阴电视剧,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-jiangyindianshiju/
宜兴新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-yixingxinwen/
宜兴生活,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-yixingshenghuo/
宜兴影视,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-yixingyingshi/
宜兴紫砂,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-yixingzisha/

常州新闻综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_CHANGZHOUXW/
常州都市,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_CHANGZHOUDS/
常州生活,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_CHANGZHOUSH/
金坛综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-jintanxinwen/

镇江新闻综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_ZHENJIANGTV-1/
镇江教育民生,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_ZHENJIANGTV-2/

扬州江都,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_YANGZHOUJD/
宝应新闻综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_BAOYINGXW/
 
泰州1,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_TAIZHOUTV-1/
泰州2,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_TAIZHOUTV-2/
泰州3,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_TAIZHOUTV-3/
 
盐城1,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_YANCHENGTV-1/
盐城2,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_YANCHENGTV-2/
射阳新闻综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SHEYANGTV-1/
射阳经济生活,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SHEYANGTV-2/
 
淮安综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HUAIANXW-CQ/
淮安影视娱乐,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HUAIANYS-CQ/
淮安公共,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_HUAIANGG-CQ/
盱眙综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-xuyizonghe/

宿迁综合,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SQZH/
宿迁公共,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_SQGG/
沭阳综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/JSGD-GW-SMS-shuyangzonghe/

连云港新闻综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/jslygxinwenzh/
连云港生活频道,http://zv6.ott.mobaibox.com:6060/cntv/live1/jslyggonggongpd/

纪实体育,#genre#
纪实科教,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-beijingjishi/
金鹰纪实,http://zv6.ott.mobaibox.com:6060/cntv/live1/SD-4000k-576P-jinyingjs/
睛彩青少,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-quanminrl/
睛彩篮球,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-miguaoyun1/
睛彩竞技,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-miguaoyun2/
睛彩广场舞,http://zv6.ott.mobaibox.com:6060/cntv/live1/MIGU-8000k-1080P-jcgcw/
欢乐棋牌,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-4000k-1080P-yinlingsg/
天元围棋,http://zv6.ott.mobaibox.com:6060/gitv/live1/G_TIANYUANWQ/

轮播频道,#genre#
黑莓电影,http://zv6.ott.mobaibox.com:6060/cntv/live1/HD-8000k-1080P-Supermovie/
动作电影,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-dongzuody/
惊悚悬疑,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-jingsongxy/
爱情喜剧,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-aiqingxj/
家庭剧场,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-jiatingjc/
古装剧场,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-guzhuangjc/
军旅剧场,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-junlvjc/
烽烟剧场,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-jingpinjl/
谍战大剧,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-saishijx/
精品大剧,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-jdaju/
潮妈辣婆,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-cmlapo/
中国功夫,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-gzkongfu/
精品综合,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-mingxingdp/
热播精选,http://zv6.ott.mobaibox.com:6060/cntv/live1/n-xiqumd/
